,0,1,2,3,4,_tempm,6,7,datetime_utc
209,0.4,0.130192878,0.23655914,0.987012987,0.642857143,0.3,0.777777778,0.319410319,05-11-2000 8.30
210,0.4,0.038807493,0.698924731,0.984848485,0.285714286,0.15,0,0,06-11-2000 0.30
211,0.533333333,0.022351955,0.817204301,0.988095238,0.333333333,0.08,0.305555556,0.090909091,21-11-2000 18.30
212,0.333333333,0.01656036,0.483870968,0.989177489,0.357142857,0.25,0.861111111,0.363636364,24-11-2000 17.30
213,0.333333333,0.015137691,0.752688172,0.99025974,0.214285714,0.09,0.166666667,0.228501229,27-11-2000 22.30
214,0.166666667,0.014314041,0.548387097,0.991341991,0.19047619,0.22,0.638888889,0.090909091,29-11-2000 18.30
215,0.316666667,0.006938628,0.543010753,0.992424242,0.30952381,0.06,0.222222222,0.181818182,16-12-2000 16.30
216,0.166666667,0.007458967,0.279569892,0.99025974,0.404761905,0.35,0.805555556,0.363636364,20-12-2000 11.30
217,0.333333333,0.008429154,0.419354839,0.99025974,0.404761905,0.15,0.861111111,0.181818182,24-12-2000 8.30
218,0.4,0.008627365,0.698924731,0.993506494,0.285714286,0.1,0.777777778,0.137592138,25-12-2000 5.30
219,0.1,0.008836007,0.795698925,0.992424242,0.023809524,0.07,0,0,26-12-2000 1.30
220,0.3,0.009764466,0.806451613,0.989177489,0.166666667,0.05,0,0,29-12-2000 20.30
221,0.366666667,0.010004405,0.752688172,0.99025974,0.238095238,0.14,0.138888889,0.272727273,30-12-2000 19.30
222,0.2,0.010505147,0.741935484,0.99025974,0.119047619,0.02,0,0,02-01-2001 0.30
223,0.3,0.011590087,0.602150538,0.991341991,0.261904762,0.18,0.194444444,0.090909091,06-01-2001 9.30
224,0.1,0.012695892,0.860215054,0.988095238,0,0.05,0.75,0.137592138,10-01-2001 23.30
225,0.366666667,0.01283151,0.806451613,0.988095238,0.214285714,0.2,0,0,11-01-2001 13.30
226,0.366666667,0.013749536,1,0.994588745,0.142857143,0.02,0.166666667,0.090909091,15-01-2001 5.30
227,0.233333333,0.015898553,0.924731183,0.989177489,0.071428571,0.2,0.833333333,0.272727273,24-01-2001 0.30
228,0.166666667,0.016357567,0.795698925,0.987012987,0.071428571,0.22,0.666666667,0.090909091,25-01-2001 21.30
229,0.2,0.016733123,0.279569892,0.987012987,0.428571429,0.45,0.777777778,0.454545455,27-01-2001 10.30
230,0.533333333,0.017484236,0.817204301,0.985930736,0.333333333,0.11,0,0,30-01-2001 17.30
231,0.233333333,0.018673498,0.741935484,0.988095238,0.142857143,0.1,0,0,04-02-2001 20.30
232,0.166666667,0.020300909,0.225806452,0.984848485,0.476190476,0.45,0.805555556,0.41031941,11-02-2001 10.30
